Date,Stock,Buy price,Units,Action,Total
"July 19, 2018",JD,37.19,1,B,37.19
"July 20, 2018",Arista,277,1,S,277
"July 20, 2018",Facebook,208.85,1,S,208.85
"July 26, 2018",Facebook,175.33,2,B,350.66
"July 26, 2018",Cato,26.16,4,S,104.64
"July 26, 2018",Spotify,193.67,1,B,193.67
"July 31, 2018",Atlassian,72.69,3,B,218.07
"July 31, 2018",Twitter,31.85,7,B,222.95
"August 9, 2018",Funko,19.58,5,S,97.9
"August 10, 2018",JD,35.97,1,B,35.97
"August 10, 2018",HUYA,32.38,2,B,64.76
"August 23, 2018",Funko,22.78,3,S,68.34
"August 29, 2018",Disney,112.67,2,S,225.34
"August 29, 2018",Chegg,31.58,3,S,94.74
"August 29, 2018",HUYA,28.8,3,S,86.4
"August 29, 2018",JD,32.1,2,S,64.2
"August 29, 2018",Baozun,57.55,2,S,115.1
"August 29, 2018",Tencent,46.12,6,B,276.72
"August 29, 2018",Aurora,6.96,10,B,69.6
"August 29, 2018",BMW,32.93,9,B,296.37
"September 5, 2018",Nasdaq,96.58,1,S,96.58
"September 5, 2018",Canopy Growth,55.56,1,S,55.56
"September 10, 2018",AMD,28.11,6,B,168.66
"September 14, 2018",Cypress,15.54,30,B,466.2
"September 27, 2018",Denbury,6.14,1,S,6.14
"October 1, 2018",AT&T,33.66,3,B,100.98
"October 1, 2018",AT&T,33.66,8,B,269.28
"October 1, 2018",Johnson & Johnson,138.26,1,B,138.26
"October 25, 2018",Vanguard S&P 500,248.06,4,B,992.24
"December 3, 2018",Vanguard S&P 500,257.62,4,B,1030.48
"December 3, 2018",Vanguard Total Stock Market ETF,143.6,8,B,1148.8
"December 21, 2018",Vanguard Total Stock Market ETF,127.17,2,B,254.34
"January 25, 2019",PG&E,12.57,14,B,175.98
"January 28, 2019",Cypress,13.88,15,S,208.2
"January 28, 2019",Cypress,13.89,5,S,69.45
"January 28, 2019",Cypress,13.89,10,S,138.9
"January 28, 2019",Zynga,4.39,2,S,8.78
"January 28, 2019",Baozun,34.02,2,S,68.04
"January 28, 2019",IQIYI,19.39,5,S,96.95
"January 28, 2019",Netflix,332.09,1,S,332.09
"January 28, 2019",JD,23.92,1,S,23.92
"January 28, 2019",HUYA,21.06,2,S,42.12
"January 28, 2019",Funko,17.23,6,S,103.38
"January 28, 2019",BMW,28.24,1,S,28.24
"January 28, 2019",IQIYI,19.38,2,S,38.76
"January 28, 2019",Alphabet,1084.27,1,B,1084.27
"February 6, 2019",Atlassian,104.04,2,S,208.08
"February 19, 2019",PG&E,18.23,14,S,255.22
"April 22, 2019",PagerDuty,39,3,B,117
"May 2, 2019",PagerDuty,45,10,B,450
"May 13, 2019",Uber,38.9,10,B,389
"May 17, 2019",Facebook,186.35,2,S,372.7
"May 17, 2019",Funko,21.66,6,S,129.96
"May 17, 2019",BMW,24.62,4,S,98.48
"May 22, 2019",L Brands,23.61,1,S,23.61
"May 22, 2019",L Brands,23.83,20,B,476.6
"May 24, 2019",Boeing,355.16,1,B,355.16
"May 24, 2019",Boeing,355.5,1,B,355.5
"May 24, 2019",Vertex,171.67,4,B,686.68
"May 24, 2019",Coca-Cola,49.67,10,B,496.7
"May 24, 2019",Procter & Gamble,106.74,4,B,426.96
"May 30, 2019",Microsoft,125.29,3,B,375.87
"August 6, 2019",Vanguard Total International Stock ETF,49.81,20,B,996.2
"August 15, 2019",HSBC,35.74,20,B,714.8
"August 15, 2019",HSBC,35.74,30,B,1072.2
"August 28, 2019",Beyond Meat,158.28,2,B,316.56
"September 25, 2019",Nasdaq,101.82,25,B,2545.5
"October 24, 2019",Twitter,30.57,15,B,458.55
"November 5, 2019",Amazon,1804.05,1,B,1804.05
"November 20, 2019",Vanguard Total Stock Market ETF,158.47,14,B,2218.58
"November 27, 2019",PagerDuty,25.87,3,S,77.61
"November 27, 2019",JD,32.71,6,S,196.26
"November 27, 2019",Vanguard Total Stock Market ETF,160.45,6,B,962.7
"December 4, 2019",Vanguard FTSE Emerging Markets Fund,42.29,30,B,1268.7
